loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586890080.575,0.16,0.88,0.72643,0.6729,1
1586890081.234,0.96,0.72,0.64186,0.67035,1
1586890081.865,0.96,0.92,0.61802,0.60512,1
1586890082.476,0.96,0.8,0.59859,0.63749,1
1586890083.062,0.76,0.92,0.64547,0.59806,1
1586890083.68,0.96,0.8,0.56435,0.61645,1
1586890084.181,0.84,1.0,0.58277,0.53754,1
1586890084.756,0.96,0.88,0.50912,0.56454,2
1586890085.37,0.92,0.72,0.50749,0.62058,2
1586890085.985,0.96,0.92,0.47397,0.49434,2
1586890086.599,0.92,0.8,0.4935,0.56209,2
1586890087.135,0.88,0.92,3.11782,0.48765,2
1586890087.556,0.88,0.8,0.47513,0.55372,2
1586890087.92,0.92,1.0,3.15787,0.42226,2
1586890088.348,0.88,0.88,0.48356,0.49587,3
1586890088.776,0.92,0.72,0.43632,0.60048,3
1586890089.197,0.84,0.92,0.4854,0.43868,3
1586890089.622,0.8,0.8,0.53917,0.53625,3
1586890090.056,0.92,0.92,0.44539,0.43561,3
1586890090.522,0.96,0.8,1.39705,0.527,3
1586890090.894,0.96,1.0,0.3784,0.34476,3
1586890091.323,0.96,0.88,0.36724,0.44261,4
1586890091.75,0.88,0.72,0.4426,0.59407,4
1586890092.169,0.84,0.92,0.46035,0.36811,4
1586890092.598,0.8,0.8,0.50894,0.50525,4
1586890093.03,0.96,0.92,0.32303,0.3547,4
1586890093.452,0.72,0.8,0.60104,0.5008,4
1586890093.824,0.84,1.0,0.42947,0.22136,4
1586890094.249,1.0,0.88,0.2154,0.38237,5
1586890094.688,0.92,0.72,0.31433,0.63289,5
1586890095.133,0.8,0.92,0.50397,0.29756,5
1586890095.594,0.88,0.8,0.37238,0.51319,5
1586890096.024,0.92,0.92,0.27835,0.29168,5
1586890096.449,0.96,0.8,0.20405,0.52996,5
1586890096.814,0.96,1.0,0.19931,0.10688,5
1586890097.24,1.0,0.88,0.10315,0.37325,6
1586890097.674,1.0,0.72,0.08449,0.78594,6
1586890098.097,0.92,0.92,0.27616,0.27891,6
1586890098.517,0.84,0.8,0.49689,0.62103,6
