loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586898020.87,0.04,0.96,0.70295,0.66612,1
1586898021.531,0.84,0.8,0.67381,0.65842,1
1586898022.151,0.88,0.92,0.64977,0.62166,1
1586898022.721,0.96,0.84,0.61703,0.62004,1
1586898023.356,0.88,0.92,0.6131,0.58185,1
1586898024.032,0.8,0.88,0.6155,0.5737,1
1586898024.726,0.92,1.0,0.55634,0.48964,1
1586898025.481,0.84,0.96,0.57619,0.48805,2
1586898026.217,0.88,0.8,0.52963,0.55881,2
1586898026.945,0.92,0.92,0.48672,0.4498,2
1586898027.658,0.96,0.84,0.42295,0.48613,2
1586898028.344,0.84,0.92,0.49977,0.40294,2
1586898029.052,0.92,0.88,0.41111,0.41601,2
1586898029.585,0.88,1.0,0.4348,0.20243,2
1586898030.204,0.92,0.96,0.33467,0.25079,3
1586898030.931,0.96,0.8,0.24722,0.5228,3
1586898031.608,0.88,0.92,0.38565,0.27054,3
1586898032.153,0.84,0.84,0.51732,0.43746,3
1586898032.635,0.8,0.92,0.53824,0.31066,3
1586898033.124,0.88,0.88,0.39486,0.39013,3
1586898033.515,0.92,1.0,0.2994,0.06137,3
1586898034.011,0.92,0.96,0.26732,0.1777,4
1586898034.472,0.92,0.8,0.30466,0.60034,4
1586898034.953,0.88,0.92,0.38,0.26624,4
1586898035.409,0.92,0.84,0.27955,0.4628,4
1586898035.902,0.84,0.92,0.50443,0.3052,4
1586898036.37,0.88,0.88,0.37067,0.38524,4
1586898036.76,0.92,1.0,0.27011,0.07635,4
1586898037.228,0.92,0.96,0.27973,0.18728,5
1586898037.687,0.88,0.8,0.3769,0.55328,5
1586898038.161,0.92,0.92,0.2941,0.27168,5
1586898038.78,1.0,0.84,0.11019,0.43992,5
1586898039.383,0.76,0.92,0.6333,0.2991,5
1586898040.005,0.96,0.88,0.19152,0.37314,5
1586898040.499,0.88,1.0,0.37351,0.10553,5
1586898041.055,0.8,0.96,0.54555,0.20495,6
1586898041.512,0.92,0.8,0.29802,0.52738,6
1586898041.964,0.88,0.92,0.36573,0.28219,6
1586898042.419,0.84,0.84,0.43051,0.43214,6
1586898042.886,0.76,0.92,0.59299,0.30536,6
1586898043.344,0.92,0.88,0.31192,0.3722,6
1586898043.735,0.96,1.0,0.22445,0.14501,6
1586898044.194,1.0,0.96,0.15358,0.2227,7
1586898044.657,0.92,0.8,0.29183,0.51843,7
1586898045.116,1.0,0.92,0.14371,0.28259,7
1586898045.573,0.96,0.84,0.21471,0.43765,7
1586898046.065,0.88,0.92,0.36181,0.2946,7
1586898046.518,0.88,0.88,0.38367,0.37386,7
1586898046.902,0.88,1.0,0.38143,0.08696,7
1586898047.363,0.92,0.96,0.27373,0.18394,8
1586898047.828,0.8,0.8,0.57866,0.56454,8
1586898048.288,0.96,0.92,0.18134,0.27129,8
1586898048.752,0.92,0.84,0.27379,0.45886,8
1586898049.21,0.88,0.92,0.43209,0.29122,8
1586898049.671,0.84,0.88,0.48867,0.37711,8
1586898050.048,0.84,1.0,0.46346,0.09074,8
1586898050.506,1.0,0.96,0.09964,0.18991,9
1586898051.001,0.96,0.8,0.20209,0.55197,9
1586898051.46,0.84,0.92,0.45485,0.27554,9
1586898051.928,0.84,0.84,0.45651,0.44859,9
1586898052.383,0.88,0.92,0.37456,0.28964,9
1586898052.855,0.8,0.88,0.5339,0.37006,9
1586898053.234,0.88,1.0,0.35989,0.12372,9
1586898053.724,0.88,0.96,0.37102,0.21386,10
1586898054.177,0.92,0.8,0.29126,0.52016,10
1586898054.635,0.84,0.92,0.44485,0.29164,10
1586898055.082,0.88,0.84,0.37133,0.43795,10
1586898055.53,0.84,0.92,0.43923,0.30251,10
1586898056.016,0.84,0.88,0.44184,0.37287,10
1586898056.397,0.92,1.0,0.30347,0.16099,10
1586898056.865,0.96,0.96,0.23524,0.23292,11
1586898057.317,0.84,0.8,0.43749,0.51243,11
1586898057.776,0.8,0.92,0.50894,0.29883,11
1586898058.235,0.88,0.84,0.36937,0.43964,11
1586898058.688,0.8,0.92,0.51465,0.30301,11
1586898059.14,0.92,0.88,0.3028,0.37305,11
1586898059.509,0.96,1.0,0.23017,0.15096,11
1586898059.978,0.88,0.96,0.36305,0.22388,12
1586898060.427,0.92,0.8,0.29592,0.52213,12
1586898060.921,0.76,0.92,0.59842,0.29007,12
1586898061.381,0.88,0.84,0.36583,0.44483,12
1586898061.84,0.92,0.92,0.28898,0.29136,12
1586898062.299,0.92,0.88,0.28735,0.37105,12
