loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586899214.609,0.2,0.6,0.69928,0.68844,1
1586899214.802,0.8,0.8,0.67799,0.66157,1
1586899214.99,0.8,1.0,0.66176,0.61772,1
1586899215.202,1.0,1.0,0.617,0.59766,1
1586899215.377,1.0,0.6,0.59655,0.6753,1
1586899215.568,1.0,1.0,0.57286,0.55501,1
1586899215.768,1.0,1.0,0.55126,0.53061,1
1586899215.977,1.0,1.0,0.52934,0.50148,1
1586899216.173,1.0,0.8,0.50025,0.57661,1
1586899216.372,0.8,0.8,0.57486,0.58309,1
1586899216.558,1.0,1.0,0.41658,0.39714,1
1586899216.755,0.8,1.0,0.54777,0.38257,1
1586899216.938,1.0,0.8,0.3841,0.51726,1
1586899217.125,1.0,1.0,0.35089,0.30511,1
1586899217.305,0.6,0.8,0.73812,0.5264,1
1586899217.487,0.8,1.0,0.54431,0.25431,1
1586899217.672,0.8,0.8,0.61792,0.49818,1
1586899217.865,1.0,0.4,0.23253,1.06549,1
1586899218.042,1.0,0.8,0.21823,0.49795,1
1586899218.227,1.0,1.0,0.1828,0.16916,1
1586899218.398,1.0,1.0,0.16427,0.1421,1
1586899218.582,1.0,1.0,0.13099,0.10785,1
1586899218.786,1.0,0.8,0.11164,0.55847,1
1586899218.966,1.0,1.0,0.08264,0.06634,1
1586899219.154,0.6,0.8,1.13014,0.60168,1
1586899219.344,0.6,0.8,1.14235,0.61341,1
1586899219.524,1.0,1.0,0.06812,0.06427,1
1586899219.708,1.0,1.0,0.06672,0.06257,1
1586899219.902,0.8,1.0,0.59145,0.06728,1
1586899220.077,0.8,0.8,0.58976,0.59133,1
1586899220.257,1.0,1.0,0.07494,0.07745,1
1586899220.443,0.8,1.0,0.57332,0.08459,1
1586899220.631,1.0,0.6,0.08316,1.04797,1
1586899220.834,0.6,1.0,1.05404,0.09335,1
1586899221.042,1.0,0.8,0.09552,0.56617,1
1586899221.237,1.0,1.0,0.10303,0.10925,1
1586899221.427,1.0,1.0,0.10788,0.10894,1
1586899221.616,1.0,1.0,0.11126,0.1085,1
1586899221.802,0.8,0.8,0.53573,0.53789,1
1586899221.991,1.0,1.0,0.11275,0.09959,1
