loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 1e-07
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586894295.663,0.16,0.12,0.72643,0.70111,1
1586894296.092,0.04,0.28,0.71312,0.69776,1
1586894296.546,0.04,0.08,0.70885,0.71497,1
1586894296.982,0.04,0.2,0.71322,0.69941,1
1586894297.438,0.24,0.08,0.69858,0.70176,1
1586894297.855,0.04,0.2,0.71267,0.69936,1
1586894298.209,0.16,0.0,0.7129,0.70346,1
1586894298.629,0.04,0.12,0.72499,0.7009,2
1586894299.046,0.08,0.28,0.72107,0.69764,2
1586894299.463,0.04,0.08,0.71958,0.71285,2
1586894299.874,0.08,0.2,0.71194,0.69924,2
1586894300.318,0.12,0.08,0.7235,0.70153,2
1586894300.78,0.12,0.2,0.71836,0.69919,2
1586894301.149,0.08,0.0,0.69154,0.70317,2
1586894301.588,0.12,0.12,0.71102,0.70069,3
1586894302.018,0.08,0.28,0.71927,0.69752,3
1586894302.454,0.16,0.08,0.71649,0.71063,3
1586894302.881,0.2,0.2,0.69915,0.69908,3
1586894303.309,0.08,0.08,0.70139,0.7013,3
1586894303.742,0.04,0.2,0.70207,0.69902,3
1586894304.111,0.04,0.0,0.71066,0.7029,3
1586894304.556,0.04,0.12,0.70867,0.70048,4
1586894304.979,0.12,0.28,0.70045,0.6974,4
1586894305.44,0.16,0.08,0.70739,0.70885,4
1586894305.88,0.2,0.2,0.69886,0.69892,4
1586894306.31,0.04,0.08,0.70208,0.70108,4
1586894306.742,0.28,0.2,0.69734,0.69887,4
1586894307.099,0.16,0.0,0.71212,0.70264,4
1586894307.528,0.0,0.12,0.70814,0.70029,5
1586894307.966,0.08,0.28,0.70778,0.69729,5
1586894308.394,0.2,0.08,0.69875,0.70738,5
1586894308.823,0.12,0.2,0.70019,0.69877,5
1586894309.25,0.08,0.08,0.71616,0.70087,5
1586894309.672,0.04,0.2,0.71134,0.69871,5
1586894310.038,0.04,0.0,0.7064,0.70238,5
1586894310.489,0.0,0.12,0.70715,0.70009,6
1586894310.936,0.0,0.28,0.71446,0.69717,6
1586894311.361,0.08,0.08,0.70496,0.70564,6
1586894311.789,0.16,0.2,0.69934,0.6986,6
1586894312.216,0.16,0.08,0.69436,0.70064,6
1586894312.653,0.08,0.2,0.71224,0.69855,6
1586894313.016,0.04,0.0,0.70464,0.70211,6
1586894313.441,0.08,0.12,0.70749,0.69988,7
1586894313.873,0.32,0.28,0.69324,0.69705,7
1586894314.298,0.12,0.08,0.69989,0.70399,7
1586894314.723,0.16,0.2,0.6991,0.69845,7
1586894315.162,0.04,0.08,0.70315,0.70042,7
1586894315.623,0.08,0.2,0.70299,0.69839,7
1586894315.993,0.2,0.0,0.70127,0.70185,7
1586894316.422,0.12,0.12,0.70141,0.69969,8
1586894316.858,0.04,0.28,0.70309,0.69694,8
1586894317.28,0.04,0.08,0.70103,0.70262,8
1586894317.715,0.08,0.2,0.70302,0.69829,8
1586894318.14,0.24,0.08,0.69773,0.70021,8
1586894318.565,0.08,0.2,0.70053,0.69824,8
1586894318.925,0.12,0.0,0.70136,0.7016,8
1586894319.343,0.08,0.12,0.69955,0.6995,9
1586894319.764,0.0,0.28,0.70346,0.69683,9
1586894320.189,0.04,0.08,0.70131,0.70126,9
1586894320.638,0.2,0.2,0.69815,0.69814,9
1586894321.064,0.08,0.08,0.70034,0.7,9
1586894321.483,0.24,0.2,0.69752,0.69809,9
1586894321.844,0.16,0.0,0.6988,0.70134,9
1586894322.265,0.12,0.12,0.69914,0.69931,10
1586894322.69,0.12,0.28,0.69934,0.69671,10
1586894323.113,0.16,0.08,0.69868,0.69996,10
1586894323.537,0.16,0.2,0.69906,0.69799,10
1586894323.962,0.24,0.08,0.69734,0.69979,10
1586894324.376,0.12,0.2,0.69932,0.69794,10
1586894324.736,0.08,0.0,0.69947,0.7011,10
1586894325.161,0.16,0.12,0.69767,0.69913,11
1586894325.609,0.04,0.28,0.70038,0.69661,11
1586894326.035,0.2,0.12,0.69713,0.6989,11
1586894326.458,0.16,0.2,0.69846,0.69785,11
1586894326.882,0.16,0.08,0.69836,0.69959,11
1586894327.301,0.08,0.2,0.69969,0.6978,11
1586894327.661,0.16,0.0,0.69839,0.70087,11
1586894328.101,0.08,0.12,0.69738,0.69895,12
1586894328.536,0.12,0.28,0.69697,0.6965,12
1586894328.965,0.12,0.12,0.70094,0.6979,12
