loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586961641.782,0.092,0.912,0.7086,0.79665,1
1586961644.266,0.892,0.905,0.66581,0.62664,1
1586961646.956,0.888,0.912,0.63902,0.91518,2
1586961649.515,0.872,0.905,0.62132,0.59028,2
1586961652.315,0.876,0.912,0.60257,1.02626,3
1586961654.811,0.88,0.905,0.58991,0.55502,3
1586961657.548,0.908,0.912,1.08989,1.02152,4
1586961660.151,0.884,0.905,0.55447,0.534,4
1586961662.78,0.888,0.912,0.55032,0.93323,5
1586961665.397,0.916,0.905,0.9307,0.51233,5
1586961668.102,0.848,0.912,0.55161,0.80089,6
1586961670.798,0.864,0.905,1.1971,0.49487,6
1586961673.598,0.872,0.912,0.75021,0.65346,7
1586961677.053,0.872,0.905,0.78383,0.48138,7
1586961682.112,0.864,0.912,0.61667,0.5385,8
1586961687.696,0.9,0.905,0.52191,0.46516,8
1586961692.821,0.924,0.912,0.45449,0.46607,9
1586961696.516,0.884,0.905,0.47362,0.44672,9
1586961700.18,0.856,0.912,0.48933,0.42994,10
1586961718.075,0.88,0.905,0.45915,0.42509,10
1586961721.809,0.884,0.912,0.44378,0.39835,11
1586961743.681,0.888,0.905,0.42274,0.38181,11
1586961747.984,0.932,0.912,0.35041,0.40084,12
1586961788.388,0.86,0.905,0.46789,0.35189,12
1586961792.597,0.892,0.912,0.37475,0.35128,13
1586961812.175,0.912,0.905,0.33021,0.32873,13
1586961818.206,0.896,0.912,0.34363,0.32891,14
1586961823.551,0.896,0.905,0.34085,0.31436,14
1586961831.223,0.892,0.912,0.34301,0.34,15
1586961845.408,0.876,0.905,0.44766,0.31189,15
1586961950.486,0.896,0.912,0.33372,0.29416,16
1586962088.293,0.876,0.905,0.38655,0.3243,16
1586962184.025,0.888,0.912,0.36352,0.29688,17
1586962330.583,0.884,0.905,0.36893,0.31825,17
1586962392.916,0.892,0.912,0.3481,0.2988,18
1586962482.756,0.888,0.905,0.36166,0.3205,18
1586962532.299,0.924,0.912,0.27144,0.29714,19
1586962598.097,0.9,0.905,0.33515,0.31649,19
1586962735.347,0.836,0.912,0.48836,0.30561,20
1586962753.596,0.9,0.905,0.32662,0.31333,20
1586962842.07,0.88,0.912,0.38842,0.31046,21
1586962885.28,0.9,0.905,0.32429,0.31292,21
1586962945.847,0.896,0.912,0.33384,0.3108,22
1586962999.532,0.868,0.905,0.40809,0.31452,22
1586963151.502,0.88,0.912,0.36682,0.30578,23
1586963197.133,0.884,0.905,0.359,0.31886,23
1586963274.188,0.872,0.912,0.38448,0.30514,24
1586963317.378,0.892,0.875,0.34336,0.34277,24
1586963388.283,0.856,0.904,0.41,1.06146,25
1586963418.158,0.856,0.905,0.39856,0.33865,25
