loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586897126.523,0.16,0.88,0.72643,0.6729,1
1586897127.274,0.96,0.72,0.64186,0.67035,1
1586897127.826,0.96,0.92,0.61802,0.60512,1
1586897128.377,0.96,0.8,0.59859,0.63749,1
1586897128.956,0.76,0.92,0.64547,0.59806,1
1586897129.547,0.96,0.8,0.56435,0.61645,1
1586897130.032,0.84,1.0,0.58277,0.53754,1
1586897130.626,0.96,0.88,0.50912,0.56454,2
1586897131.232,0.92,0.72,0.50749,0.62058,2
1586897131.817,0.96,0.92,0.47397,0.49434,2
1586897132.389,0.92,0.8,0.4935,0.56209,2
1586897132.934,0.88,0.92,3.11782,0.48765,2
1586897133.537,0.88,0.8,0.47513,0.55372,2
1586897133.988,0.92,1.0,3.15787,0.42226,2
1586897134.542,0.88,0.88,0.48356,0.49587,3
1586897135.154,0.92,0.72,0.43632,0.60048,3
1586897135.781,0.84,0.92,0.4854,0.43868,3
1586897136.322,0.8,0.8,0.53917,0.53625,3
1586897136.745,0.92,0.92,0.44539,0.43561,3
1586897137.161,0.96,0.8,1.39705,0.527,3
1586897137.511,0.96,1.0,0.3784,0.34476,3
1586897137.93,0.96,0.88,0.36724,0.44261,4
1586897138.335,0.88,0.72,0.4426,0.59407,4
1586897138.749,0.84,0.92,0.46035,0.36811,4
1586897139.162,0.8,0.8,0.50894,0.50525,4
1586897139.587,0.96,0.92,0.32303,0.3547,4
1586897139.995,0.72,0.8,0.60104,0.5008,4
1586897140.329,0.84,1.0,0.42947,0.22136,4
1586897140.773,1.0,0.88,0.2154,0.38237,5
1586897141.194,0.92,0.72,0.31433,0.63289,5
1586897141.606,0.8,0.92,0.50397,0.29756,5
1586897142.02,0.88,0.8,0.37238,0.51319,5
1586897142.431,0.92,0.92,0.27835,0.29168,5
1586897142.851,0.96,0.8,0.20405,0.52996,5
1586897143.194,0.96,1.0,0.19931,0.10688,5
1586897143.613,1.0,0.88,0.10315,0.37325,6
1586897144.024,1.0,0.72,0.08449,0.78594,6
1586897144.444,0.92,0.92,0.27616,0.27891,6
1586897144.869,0.84,0.8,0.49689,0.62103,6
1586897145.285,0.84,0.92,2.92689,0.28274,6
1586897145.732,0.96,0.8,0.16214,0.60487,6
1586897146.093,0.96,1.0,0.17067,0.06758,6
1586897146.522,0.92,0.88,0.2754,0.38471,7
1586897146.956,0.72,0.72,1.17014,0.7816,7
1586897147.367,0.88,0.92,0.37907,0.27841,7
1586897147.789,0.84,0.8,0.47153,0.55531,7
1586897148.207,0.96,0.92,0.19755,0.28117,7
1586897148.623,0.92,0.8,0.3054,0.53958,7
1586897148.978,0.8,1.0,0.56348,0.11923,7
1586897149.397,0.88,0.88,0.38523,0.36711,8
1586897149.839,0.96,0.72,0.2162,0.67963,8
1586897150.259,0.96,0.92,0.211,0.28875,8
1586897150.705,0.92,0.8,0.28604,0.52005,8
1586897151.128,0.76,0.92,0.59631,0.29297,8
1586897151.563,0.92,0.8,0.37872,0.51625,8
1586897151.913,0.88,1.0,0.36005,0.14805,8
1586897152.331,0.92,0.88,0.40838,0.36857,9
1586897152.768,1.0,0.72,0.14424,0.66314,9
1586897153.191,0.96,0.92,0.22074,0.29753,9
1586897153.618,0.8,0.8,0.51702,0.51841,9
1586897154.039,0.92,0.92,0.31308,0.29123,9
1586897154.461,0.8,0.8,0.55004,0.52036,9
1586897154.82,0.84,1.0,0.45144,0.1375,9
1586897155.235,0.88,0.88,0.3759,0.36734,10
1586897155.688,0.88,0.72,0.36718,0.67486,10
1586897156.115,0.84,0.92,0.44455,0.291,10
1586897156.545,0.84,0.8,0.44708,0.52047,10
1586897156.962,0.76,0.92,0.59663,0.29209,10
1586897157.373,0.88,0.8,0.37526,0.51724,10
1586897157.727,0.96,1.0,0.22183,0.14391,10
1586897158.15,0.88,0.88,0.37467,0.3679,11
1586897158.572,0.96,0.72,0.21904,0.66914,11
1586897158.984,0.88,0.92,0.37452,0.29173,11
1586897159.391,0.84,0.8,0.44325,0.52033,11
1586897159.815,0.84,0.92,0.4442,0.29073,11
1586897160.239,0.92,0.8,0.29073,0.5214,11
1586897160.598,0.84,1.0,0.44553,0.13528,11
1586897161.024,1.0,0.88,0.12832,0.36709,12
1586897161.438,0.96,0.72,0.20499,0.68671,12
1586897161.869,0.84,0.92,0.51479,0.28257,12
1586897162.278,0.88,0.8,0.36705,0.53168,12
1586897162.7,0.84,0.92,0.44572,0.28448,12
1586897163.114,0.88,0.8,0.3592,0.53354,12
1586897163.475,0.88,1.0,0.36638,0.11752,12
1586897163.909,0.8,0.88,0.55587,0.36728,13
1586897164.331,0.88,0.72,0.36704,0.69538,13
1586897164.774,0.92,0.92,0.28534,0.2836,13
1586897165.189,0.92,0.8,0.28568,0.53063,13
1586897165.644,0.92,0.92,0.2767,0.28517,13
1586897166.069,0.88,0.8,0.367,0.53119,13
1586897166.419,0.8,1.0,0.66717,0.12222,13
1586897166.857,0.92,0.88,0.2856,0.36711,14
1586897167.28,0.84,0.72,0.44872,0.69152,14
1586897167.712,0.88,0.92,0.38337,0.30406,14
1586897168.131,0.92,0.8,0.30462,0.52841,14
1586897168.551,0.96,0.92,0.22806,0.28565,14
1586897168.967,0.88,0.8,0.36748,0.53091,14
1586897169.326,0.92,1.0,0.24941,0.11809,14
1586897169.768,0.8,0.88,0.54999,0.36741,15
1586897170.178,0.92,0.72,0.28412,0.70304,15
1586897170.616,0.92,0.92,0.2889,0.28539,15
1586897171.06,0.84,0.8,0.45275,0.53749,15
1586897171.48,0.88,0.92,0.36824,0.28285,15
1586897171.906,0.84,0.8,0.45248,0.53645,15
1586897172.253,0.84,1.0,0.45089,0.11712,15
1586897172.687,0.84,0.88,0.44696,0.36716,16
1586897173.112,0.96,0.72,0.20295,0.69354,16
1586897173.565,0.92,0.92,0.28032,0.28102,16
1586897173.999,0.88,0.8,0.36289,0.52958,16
1586897174.429,0.92,0.92,0.27166,0.28567,16
1586897174.878,0.84,0.8,0.43922,0.52857,16
1586897175.238,0.84,1.0,0.44293,0.12725,16
1586897175.696,0.88,0.88,0.3571,0.36701,17
1586897176.129,0.92,0.72,0.28288,0.68129,17
1586897176.565,0.92,0.92,0.28839,0.28313,17
1586897177.002,0.88,0.8,0.36182,0.52411,17
1586897177.423,0.96,0.92,0.21041,0.28766,17
1586897177.876,0.96,0.8,0.20873,0.52808,17
1586897178.259,0.88,1.0,0.36818,0.12192,17
1586897178.696,0.84,0.88,0.43892,0.3672,18
1586897179.124,0.76,0.72,0.61425,0.69348,18
1586897179.558,0.96,0.92,0.19918,0.28041,18
1586897179.988,0.84,0.8,0.44454,0.5296,18
1586897180.404,0.92,0.92,0.27158,0.28583,18
1586897180.878,0.88,0.8,0.36219,0.52874,18
1586897181.236,0.88,1.0,0.3576,0.12541,18
1586897181.666,1.0,0.88,0.12055,0.36707,19
1586897182.08,0.76,0.72,0.61144,0.69002,19
1586897182.49,0.92,0.92,0.27952,0.28119,19
1586897182.931,0.88,0.8,0.36718,0.52823,19
1586897183.348,0.92,0.92,0.27569,0.28611,19
1586897183.807,0.92,0.8,0.28617,0.52977,19
1586897184.167,0.92,1.0,0.28055,0.12059,19
1586897184.61,0.88,0.88,0.35744,0.36731,20
1586897185.029,0.88,0.72,0.34798,0.69903,20
1586897185.453,0.96,0.92,0.20141,0.27892,20
1586897185.951,0.88,0.8,0.3677,0.53719,20
1586897186.384,1.0,0.92,0.11373,0.28186,20
1586897186.861,0.8,0.8,0.53606,0.54282,20
1586897187.223,0.92,1.0,0.27735,0.1058,20
1586897187.675,1.0,0.88,0.10183,0.36995,21
1586897188.104,0.8,0.72,0.54427,0.72889,21
1586897188.535,0.88,0.92,0.3704,0.27634,21
1586897189.002,1.0,0.8,0.10284,0.55219,21
1586897189.42,0.88,0.92,0.36704,0.27988,21
1586897189.93,0.92,0.8,0.27609,0.55579,21
1586897190.288,0.84,1.0,0.46014,0.09599,21
1586897190.793,0.92,0.88,0.27963,0.37145,22
1586897191.398,0.96,0.72,0.18424,0.74076,22
1586897191.832,0.88,0.92,0.36491,0.27575,22
1586897192.302,0.92,0.8,0.27566,0.55635,22
1586897192.94,0.88,0.92,0.3719,0.27969,22
1586897193.627,0.92,0.8,0.27238,0.55498,22
1586897194.125,0.96,1.0,0.18789,0.09503,22
1586897194.676,0.8,0.88,0.55634,0.37114,23
1586897195.133,0.92,0.72,0.27958,0.73304,23
1586897195.626,0.68,0.92,0.81986,0.27713,23
1586897196.189,0.96,0.8,0.18992,0.53873,23
1586897196.665,0.88,0.92,0.3638,0.28415,23
1586897197.227,0.8,0.8,1.59385,0.52593,23
1586897197.687,0.76,1.0,0.59042,0.14244,23
1586897198.422,0.96,0.88,0.21204,0.36915,24
1586897199.014,0.8,0.72,0.49429,0.6461,24
1586897199.604,0.84,0.92,0.42021,0.30109,24
1586897200.24,0.92,0.8,0.30124,0.50369,24
1586897200.911,0.88,0.92,0.36164,0.31646,24
1586897201.344,0.92,0.8,0.31669,0.50205,24
1586897201.746,0.84,1.0,0.64625,0.19973,24
1586897202.198,0.88,0.88,0.3731,0.38148,25
