loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586914828.578,0.12,0.876,0.70117,0.67168,1
1586914830.851,0.932,0.845,0.66862,0.65232,1
1586914833.297,0.864,0.876,0.65039,0.63012,2
1586914835.731,0.896,0.845,0.62651,0.61903,2
1586914838.239,0.896,0.876,0.60643,0.5942,3
1586914840.648,0.892,0.845,0.58874,0.58556,3
1586914843.155,0.916,0.876,0.56091,0.55489,4
1586914845.691,0.872,0.845,0.55688,0.54874,4
1586914848.326,0.896,0.876,0.52205,0.5108,5
1586914850.907,0.9,0.845,0.49873,0.50955,5
1586914853.412,0.9,0.876,0.4686,0.46273,6
1586914855.971,0.876,0.845,0.46359,0.47221,6
1586914858.631,0.9,0.876,0.41819,0.4162,7
1586914861.929,0.904,0.845,0.38796,0.44717,7
1586914866.851,0.868,0.876,0.40758,0.38363,8
1586914870.268,0.888,0.845,0.36341,0.45055,8
1586914874.708,0.864,0.876,0.40778,0.37951,9
1586914879.271,0.876,0.845,0.38402,0.48099,9
1586914886.481,0.912,0.876,0.29867,0.39742,10
1586914901.872,0.864,0.845,0.4401,0.51247,10
1586914905.397,0.86,0.876,0.45034,0.40544,11
1586914918.411,0.9,0.845,0.33418,0.51058,11
1586914927.031,0.88,0.876,0.39009,0.39964,12
1586914938.698,0.896,0.845,0.35503,0.49237,12
1586914959.68,0.928,0.876,0.26162,0.3899,13
1586914972.929,0.9,0.845,0.32901,0.47559,13
1586914992.37,0.856,0.876,0.43323,0.38164,14
1586915005.562,0.896,0.845,0.33366,0.45833,14
1586915012.797,0.836,0.876,0.46439,0.37641,15
1586915019.859,0.912,0.845,0.3023,0.44583,15
1586915044.788,0.888,0.876,0.34867,0.37568,16
1586915055.108,0.896,0.845,0.34166,0.44044,16
1586915073.038,0.876,0.876,0.37212,0.37661,17
1586915361.99,0.912,0.845,0.30929,0.43845,17
1586915580.242,0.872,0.876,0.38892,0.37698,18
1586915611.875,0.9,0.845,0.333,0.43782,18
1586915693.367,0.916,0.876,0.30639,0.37624,19
1586915737.666,0.908,0.845,0.31936,0.43905,19
1586915759.188,0.912,0.876,0.30948,0.37514,20
1586915809.488,0.86,0.845,0.40599,0.44219,20
1586915880.426,0.924,0.876,0.28303,0.37528,21
1586915935.331,0.916,0.845,0.29496,0.44831,21
1586915981.434,0.912,0.876,0.30052,0.37767,22
1586916036.296,0.916,0.845,0.29752,0.45785,22
1586916094.708,0.912,0.876,0.29706,0.38257,23
1586916143.774,0.916,0.845,0.28537,0.46955,23
1586916174.496,0.872,0.876,0.39936,0.38741,24
1586916250.874,0.884,0.845,0.36773,0.47263,24
1586916306.021,0.884,0.876,0.37143,0.38659,25
1586916361.272,0.872,0.845,0.39558,0.46579,25
