loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 1e-14
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586894142.48,0.16,0.12,0.72643,0.70114,1
1586894142.891,0.04,0.28,0.71344,0.6978,1
1586894143.287,0.04,0.08,0.70922,0.71599,1
1586894143.693,0.04,0.2,0.71407,0.69951,1
1586894144.085,0.24,0.08,0.69866,0.70193,1
1586894144.468,0.04,0.2,0.71401,0.6995,1
1586894144.79,0.16,0.0,0.71486,0.70373,1
1586894145.166,0.04,0.12,0.72909,0.70114,2
1586894145.591,0.08,0.28,0.72493,0.6978,2
1586894145.99,0.04,0.08,0.72376,0.71599,2
1586894146.385,0.08,0.2,0.71504,0.69951,2
1586894146.788,0.12,0.08,0.7313,0.70193,2
1586894147.19,0.12,0.2,0.72454,0.6995,2
1586894147.521,0.08,0.0,0.68936,0.70373,2
1586894147.918,0.12,0.12,0.71659,0.70114,3
1586894148.32,0.08,0.28,0.72774,0.6978,3
1586894148.79,0.16,0.08,0.72566,0.71599,3
1586894149.298,0.2,0.2,0.69959,0.69951,3
1586894149.838,0.08,0.08,0.70199,0.70193,3
1586894150.248,0.04,0.2,0.70459,0.6995,3
1586894150.607,0.04,0.0,0.71759,0.70373,3
1586894151.026,0.04,0.12,0.71462,0.70114,4
1586894151.418,0.12,0.28,0.70111,0.6978,4
1586894151.817,0.16,0.08,0.71463,0.71599,4
1586894152.212,0.2,0.2,0.69943,0.69951,4
1586894152.605,0.04,0.08,0.70302,0.70193,4
1586894153.005,0.28,0.2,0.69778,0.6995,4
1586894153.343,0.16,0.0,0.72608,0.70373,4
1586894153.744,0.0,0.12,0.71502,0.70114,5
1586894154.137,0.08,0.28,0.71715,0.6978,5
1586894154.537,0.2,0.08,0.69944,0.71599,5
1586894154.94,0.12,0.2,0.70109,0.69951,5
1586894155.373,0.08,0.08,0.73769,0.70193,5
1586894155.781,0.04,0.2,0.72621,0.6995,5
1586894156.118,0.04,0.0,0.71506,0.70373,5
1586894156.517,0.0,0.12,0.72292,0.70114,6
1586894156.928,0.0,0.28,0.7396,0.6978,6
1586894157.324,0.08,0.08,0.71425,0.71599,6
1586894157.718,0.16,0.2,0.70033,0.69951,6
1586894158.117,0.16,0.08,0.68772,0.70193,6
1586894158.519,0.04,0.2,0.74097,0.6995,6
1586894158.856,0.04,0.0,0.71706,0.70373,6
1586894159.249,0.08,0.12,0.72814,0.70114,7
1586894159.646,0.28,0.28,0.68797,0.6978,7
1586894160.06,0.12,0.08,0.70117,0.71599,7
1586894160.493,0.16,0.2,0.70028,0.69951,7
1586894160.89,0.04,0.08,0.71452,0.70193,7
1586894161.269,0.08,0.2,0.71337,0.6995,7
1586894161.588,0.2,0.0,0.71465,0.70373,7
1586894161.978,0.12,0.12,0.71473,0.70114,8
1586894162.362,0.04,0.28,0.71759,0.6978,8
1586894162.746,0.04,0.08,0.70281,0.71599,8
1586894163.128,0.08,0.2,0.73046,0.69951,8
1586894163.527,0.24,0.08,0.69879,0.70193,8
1586894163.944,0.08,0.2,0.70634,0.6995,8
1586894164.267,0.12,0.0,0.7238,0.70373,8
1586894164.672,0.08,0.12,0.7025,0.70114,9
1586894165.067,0.0,0.28,0.72592,0.6978,9
1586894165.498,0.04,0.08,0.71753,0.71599,9
1586894165.899,0.2,0.2,0.69949,0.69951,9
1586894166.295,0.08,0.08,0.72789,0.70193,9
1586894166.682,0.2,0.2,0.71388,0.6995,9
1586894167.011,0.16,0.0,0.70048,0.70373,9
1586894167.396,0.12,0.12,0.71328,0.70114,10
1586894167.781,0.12,0.28,0.70118,0.6978,10
1586894168.171,0.16,0.08,0.70035,0.71599,10
1586894168.561,0.16,0.2,0.71775,0.69951,10
1586894168.957,0.24,0.08,0.69865,0.70193,10
1586894169.356,0.12,0.2,0.70135,0.6995,10
1586894169.691,0.04,0.0,0.71712,0.70373,10
1586894170.092,0.12,0.12,0.71166,0.70114,11
1586894170.526,0.04,0.28,0.70281,0.6978,11
1586894170.938,0.12,0.08,0.72704,0.71599,11
1586894171.332,0.16,0.2,0.70031,0.69951,11
1586894171.728,0.16,0.08,0.70023,0.70193,11
1586894172.127,0.08,0.2,0.70203,0.6995,11
1586894172.454,0.16,0.0,0.70031,0.70373,11
1586894172.848,0.0,0.12,0.73692,0.70114,12
1586894173.244,0.04,0.28,0.72536,0.6978,12
1586894173.637,0.16,0.08,0.69024,0.71599,12
1586894174.03,0.12,0.2,0.70118,0.69951,12
1586894174.421,0.16,0.08,0.71543,0.70193,12
1586894174.822,0.12,0.2,5.73298,0.6995,12
1586894175.159,0.12,0.0,0.71284,0.70373,12
1586894175.594,0.2,0.12,0.7007,0.70114,13
1586894175.997,0.12,0.28,0.71345,0.6978,13
1586894176.391,0.08,0.08,0.71386,0.71599,13
1586894176.784,0.08,0.2,0.72435,0.69951,13
1586894177.18,0.08,0.08,0.75036,0.70193,13
1586894177.607,0.12,0.2,0.70116,0.6995,13
1586894177.943,0.2,0.0,0.69016,0.70373,13
1586894178.346,0.08,0.12,0.70199,0.70114,14
1586894178.745,0.16,0.28,0.70028,0.6978,14
1586894179.136,0.12,0.08,0.71643,0.71599,14
1586894179.539,0.08,0.2,0.71343,0.69951,14
1586894179.931,0.04,0.08,0.71731,0.70193,14
1586894180.34,0.12,0.2,0.70111,0.6995,14
1586894180.693,0.04,0.0,0.72777,0.70373,14
1586894181.1,0.2,0.12,0.71385,0.70114,15
1586894181.49,0.08,0.28,0.70197,0.6978,15
1586894181.89,0.08,0.08,0.71647,0.71599,15
1586894182.276,0.16,0.2,0.70027,0.69951,15
1586894182.67,0.12,0.08,0.70119,0.70193,15
1586894183.064,0.16,0.2,0.7119,0.6995,15
1586894183.388,0.16,0.0,0.71164,0.70373,15
1586894183.782,0.16,0.12,0.71481,0.70114,16
1586894184.171,0.04,0.28,0.70282,0.6978,16
1586894184.563,0.08,0.08,0.72283,0.71599,16
1586894184.952,0.12,0.2,0.71274,0.69951,16
1586894185.355,0.08,0.08,0.73964,0.70193,16
1586894185.764,0.16,0.2,0.73387,0.6995,16
1586894186.092,0.16,0.0,0.71212,0.70373,16
1586894186.476,0.12,0.12,5.71025,0.70114,17
1586894186.869,0.08,0.28,0.7132,0.6978,17
1586894187.254,0.08,0.08,0.70192,0.71599,17
1586894187.643,0.12,0.2,0.71587,0.69951,17
1586894188.039,0.04,0.08,0.71549,0.70193,17
1586894188.432,0.04,0.2,0.7028,0.6995,17
1586894188.766,0.12,0.0,0.70117,0.70373,17
1586894189.163,0.16,0.12,0.72723,0.70114,18
1586894189.563,0.24,0.28,0.69864,0.6978,18
1586894189.963,0.04,0.08,0.7172,0.71599,18
1586894190.395,0.16,0.2,0.71361,0.69951,18
1586894190.809,0.08,0.08,5.85855,0.70193,18
1586894191.204,0.12,0.2,0.71576,0.6995,18
1586894191.546,0.12,0.0,5.70911,0.70373,18
1586894191.946,0.0,0.12,0.72296,0.70114,19
1586894192.343,0.24,0.28,0.69865,0.6978,19
1586894192.748,0.08,0.08,0.7088,0.71599,19
1586894193.141,0.12,0.2,0.70118,0.69951,19
1586894193.528,0.08,0.08,0.73911,0.70193,19
1586894193.956,0.08,0.2,0.70197,0.6995,19
1586894194.471,0.08,0.0,0.73118,0.70373,19
1586894194.915,0.12,0.12,0.7242,0.70114,20
1586894195.372,0.12,0.28,0.76251,0.6978,20
1586894195.781,0.04,0.08,0.70288,0.71599,20
1586894196.175,0.12,0.2,0.70118,0.69951,20
1586894196.566,0.0,0.08,0.70365,0.70193,20
1586894196.975,0.2,0.2,0.72711,0.6995,20
1586894197.299,0.08,0.0,0.71713,0.70373,20
1586894197.689,0.0,0.12,0.71832,0.70114,21
1586894198.08,0.2,0.28,0.71078,0.6978,21
1586894198.47,0.12,0.08,0.70116,0.71599,21
1586894198.869,0.0,0.2,0.70386,0.69951,21
1586894199.265,0.12,0.08,0.71532,0.70193,21
1586894199.679,0.08,0.2,0.71705,0.6995,21
1586894200.03,0.16,0.0,0.71271,0.70373,21
1586894200.468,0.08,0.12,0.70197,0.70114,22
1586894200.887,0.04,0.28,0.7142,0.6978,22
1586894201.357,0.12,0.08,0.72747,0.71599,22
1586894203.056,0.08,0.2,0.71388,0.69951,22
1586894203.462,0.12,0.08,0.70109,0.70193,22
1586894205.066,0.08,0.2,5.8427,0.6995,22
