loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586899255.599,0.08,0.86,0.70217,0.67327,1
1586899256.653,0.9,0.86,0.67083,0.65191,1
1586899257.567,0.88,0.92,0.64949,0.6243,1
1586899258.541,0.92,0.92,0.62513,0.60574,1
1586899259.511,0.84,0.9,0.62432,0.59078,1
1586899260.55,0.84,0.92,0.60894,0.56753,1
1586899261.539,0.86,0.96,0.58724,0.52945,1
1586899262.591,0.86,0.92,0.56968,0.52386,1
1586899263.567,0.94,0.86,0.51328,0.53062,1
1586899264.31,0.94,0.86,0.4902,0.50937,1
1586899265.05,0.92,0.9,0.46851,0.4598,1
1586899265.799,0.92,0.9,0.4452,0.43411,1
1586899266.56,0.88,0.76,0.45386,0.55369,1
1586899267.308,0.86,0.98,0.44965,0.28945,1
1586899268.052,0.8,0.92,0.50514,0.33127,1
1586899268.795,0.94,0.94,0.30629,0.28138,1
