loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586899071.208,0.2,0.6,0.69928,0.68844,1
1586899071.508,0.8,0.8,0.67799,0.66157,1
1586899071.753,0.8,1.0,0.66176,0.61772,1
1586899072.004,1.0,1.0,0.617,0.59766,1
1586899072.251,1.0,0.6,0.59655,0.6753,1
1586899072.476,1.0,1.0,0.57286,0.55501,1
1586899072.718,1.0,1.0,0.55126,0.53061,1
1586899072.981,1.0,1.0,0.52934,0.50148,1
1586899073.216,1.0,0.8,0.50025,0.57661,1
1586899073.419,0.8,0.8,0.57486,0.58309,1
1586899073.637,1.0,1.0,0.41658,0.39714,1
1586899073.851,0.8,1.0,0.54777,0.38257,1
1586899074.053,1.0,0.8,0.3841,0.51726,1
1586899074.255,1.0,1.0,0.35089,0.30511,1
1586899074.458,0.6,0.8,0.73812,0.5264,1
1586899074.673,0.8,1.0,0.54431,0.25431,1
1586899074.905,0.8,0.8,0.61792,0.49818,1
1586899075.106,1.0,0.4,0.23253,1.06549,1
1586899075.305,1.0,0.8,0.21823,0.49795,1
1586899075.502,1.0,1.0,0.1828,0.16916,1
1586899075.704,1.0,1.0,0.16427,0.1421,1
1586899075.939,1.0,1.0,0.13099,0.10785,1
1586899076.146,1.0,0.8,0.11164,0.55847,1
1586899076.35,1.0,1.0,0.08264,0.06634,1
1586899076.546,0.6,0.8,1.13014,0.60168,1
1586899076.746,0.6,0.8,1.14235,0.61341,1
1586899077.008,1.0,1.0,0.06812,0.06427,1
1586899077.214,1.0,1.0,0.06672,0.06257,1
1586899077.441,0.8,1.0,0.59145,0.06728,1
1586899077.637,0.8,0.8,0.58976,0.59133,1
1586899077.872,1.0,1.0,0.07494,0.07745,1
1586899078.069,0.8,1.0,0.57332,0.08459,1
1586899078.285,1.0,0.6,0.08316,1.04797,1
1586899078.538,0.6,1.0,1.05404,0.09335,1
1586899078.751,1.0,0.8,0.09552,0.56617,1
1586899078.963,1.0,1.0,0.10303,0.10925,1
1586899079.163,1.0,1.0,0.10788,0.10894,1
1586899079.382,1.0,1.0,0.11126,0.1085,1
1586899079.569,0.8,0.8,0.53573,0.53789,1
1586899079.782,1.0,1.0,0.11275,0.09959,1
1586899080.011,0.8,1.0,0.6152,0.10951,1
1586899080.225,1.0,1.0,0.11301,0.10711,1
1586899080.445,1.0,0.8,0.1147,0.53998,1
1586899080.665,0.8,0.8,0.53475,0.53451,1
1586899080.919,0.8,0.8,0.537,0.53343,1
1586899081.14,0.8,1.0,0.54293,0.11497,1
1586899081.354,1.0,1.0,0.1162,0.11301,1
1586899081.534,0.8,0.8,0.55377,0.52173,1
1586899081.72,0.8,1.0,0.53014,0.12651,1
1586899081.933,0.6,0.8,0.92174,0.52097,1
1586899082.13,0.8,1.0,0.52099,0.14406,1
1586899082.302,0.8,0.6,0.52016,0.88583,1
1586899082.482,0.8,1.0,0.50824,0.16557,1
1586899082.672,0.8,1.0,0.50408,0.1809,1
1586899082.854,1.0,0.8,0.17914,0.50679,1
1586899083.05,0.8,1.0,0.50738,0.18765,1
1586899083.221,1.0,0.8,0.19541,0.50522,1
1586899083.392,0.8,1.0,0.49956,0.19462,1
1586899083.565,0.8,1.0,0.50336,0.20527,1
1586899083.736,0.8,1.0,0.49999,0.20861,1
1586899083.917,0.8,0.8,0.50359,0.50139,1
1586899084.091,1.0,1.0,0.21047,0.21139,1
1586899084.267,0.8,1.0,0.49515,0.21,1
1586899084.444,1.0,1.0,0.20948,0.20718,1
1586899084.617,0.8,1.0,0.4981,0.20203,1
1586899084.799,0.8,1.0,0.49784,0.19397,1
1586899084.977,0.8,1.0,0.51416,0.19684,1
1586899085.161,0.8,0.8,0.49809,0.50061,1
1586899085.33,1.0,1.0,0.19356,0.18592,1
1586899085.511,0.8,1.0,0.53028,0.18658,1
1586899085.68,1.0,1.0,0.19021,0.1837,1
1586899085.876,0.8,0.8,0.49872,0.50272,1
1586899086.057,1.0,1.0,0.18017,0.17145,1
1586899086.235,1.0,0.8,0.17162,0.51467,1
1586899086.412,0.6,0.8,0.86595,0.50829,1
1586899086.591,0.6,1.0,0.86703,0.15544,1
1586899086.775,1.0,0.8,0.15355,0.51009,1
1586899086.948,1.0,1.0,0.1545,0.15582,1
1586899087.121,1.0,1.0,0.15677,0.14941,1
1586899087.291,0.6,1.0,0.88307,0.1502,1
1586899087.462,1.0,1.0,0.1502,0.14414,1
1586899087.637,1.0,1.0,0.14412,0.14179,1
1586899087.816,1.0,0.8,0.13663,0.52222,1
1586899087.986,0.8,0.6,0.52176,0.93664,1
1586899088.156,0.8,1.0,0.53432,0.12555,1
1586899088.326,0.8,1.0,0.52716,0.12365,1
1586899088.494,1.0,0.6,0.11952,0.93809,1
1586899088.668,1.0,1.0,0.11975,0.11611,1
1586899088.85,1.0,0.8,0.11724,0.53246,1
1586899089.022,1.0,0.8,0.10672,0.54527,1
1586899089.192,1.0,1.0,0.10281,0.08996,1
1586899089.367,1.0,0.8,0.09306,0.57695,1
1586899089.538,1.0,0.8,0.08255,0.57855,1
1586899089.719,1.0,0.8,0.06885,0.60331,1
1586899089.897,0.6,0.8,1.1512,0.61495,1
1586899090.068,0.8,0.8,0.66484,0.60238,1
1586899090.239,1.0,1.0,0.06486,0.06503,1
1586899090.409,1.0,1.0,0.06657,0.0659,1
1586899090.58,1.0,1.0,0.06418,0.06338,1
1586899090.761,1.0,0.6,0.06414,1.17347,1
1586899091.007,1.0,1.0,0.06045,0.05519,1
1586899091.206,1.0,1.0,0.05545,0.05404,1
1586899091.393,0.6,1.0,1.20985,0.05671,1
1586899091.583,1.0,1.0,0.05455,0.05817,1
1586899091.765,1.0,1.0,0.05727,0.05583,1
1586899091.951,1.0,1.0,0.05655,0.05738,1
1586899092.208,1.0,0.2,0.0533,2.33414,1
1586899092.387,0.8,1.0,0.64405,0.05673,1
1586899092.624,0.8,1.0,0.61765,0.06143,1
1586899092.872,1.0,0.8,0.06097,0.60707,1
1586899093.046,0.8,1.0,0.6071,0.067,1
1586899093.236,1.0,0.8,0.06846,0.59157,1
1586899093.437,1.0,1.0,0.07186,0.07363,1
1586899093.644,0.6,1.0,1.10231,0.08064,1
1586899093.838,1.0,1.0,0.0782,0.08255,1
1586899094.019,1.0,0.8,0.08207,0.5616,1
1586899094.192,0.8,0.8,0.5616,0.56096,1
1586899094.369,1.0,1.0,0.09207,0.09989,1
1586899094.547,1.0,0.6,0.09989,1.00434,1
1586899094.731,1.0,1.0,0.10108,0.09639,1
1586899094.909,0.8,1.0,0.55598,0.10148,1
1586899095.089,1.0,0.6,0.10156,1.00024,1
1586899095.272,1.0,0.8,0.09705,0.55257,1
1586899095.45,0.6,0.8,1.01033,0.54324,1
1586899095.631,0.8,0.8,0.55605,0.54105,1
1586899095.828,1.0,0.6,0.10892,0.96769,1
1586899096.014,0.8,0.6,0.54471,0.96097,1
1586899096.204,0.8,0.8,0.53404,0.52935,1
1586899096.39,1.0,0.8,0.12253,0.53083,1
1586899096.572,1.0,0.8,0.12043,0.52498,1
1586899096.758,0.6,1.0,0.92662,0.13122,1
1586899096.935,0.8,1.0,0.52799,0.1404,1
1586899097.112,1.0,1.0,0.14039,0.14305,1
1586899097.283,1.0,1.0,0.1445,0.14485,1
1586899097.455,0.6,1.0,0.89008,0.15057,1
1586899097.625,0.8,0.8,0.50728,0.51283,1
1586899097.81,1.0,1.0,0.1575,0.16286,1
1586899097.981,1.0,1.0,0.16286,0.16324,1
1586899098.151,1.0,1.0,0.16296,0.15803,1
1586899098.322,0.8,1.0,0.50846,0.15708,1
1586899098.493,0.6,1.0,0.86891,0.16233,1
1586899098.677,0.8,1.0,0.5129,0.16255,1
1586899098.858,0.8,0.8,0.51151,0.50548,1
1586899099.03,0.8,1.0,0.5057,0.17562,1
1586899099.205,1.0,1.0,0.1736,0.17261,1
1586899099.376,0.8,0.8,0.50417,0.50726,1
1586899099.561,1.0,1.0,0.18152,0.17789,1
1586899099.741,0.8,1.0,0.50106,0.17724,1
1586899099.914,0.6,0.6,0.8332,0.82121,1
1586899100.086,0.8,1.0,0.50344,0.18579,1
1586899100.259,1.0,1.0,0.18487,0.18814,1
1586899100.444,1.0,1.0,0.187,0.18604,1
1586899100.616,1.0,1.0,0.18555,0.18221,1
1586899100.8,1.0,0.8,0.18108,0.51037,1
1586899101.01,0.8,0.8,0.50342,0.50981,1
1586899101.205,1.0,1.0,0.16727,0.15896,1
1586899101.405,0.8,0.8,0.51097,0.51419,1
1586899101.605,1.0,1.0,0.15305,0.14375,1
1586899101.8,0.8,1.0,0.51497,0.1374,1
1586899101.971,1.0,1.0,0.13921,0.13071,1
1586899102.141,0.8,0.8,0.52282,0.52618,1
1586899102.311,0.8,0.6,0.53302,0.93095,1
1586899102.481,0.8,0.8,0.5328,0.52643,1
1586899102.653,1.0,1.0,0.12374,0.11327,1
1586899102.858,0.8,1.0,0.52942,0.11644,1
1586899103.032,1.0,1.0,0.11926,0.1154,1
1586899103.207,0.8,1.0,0.53459,0.11487,1
1586899103.389,1.0,0.8,0.11487,0.53704,1
1586899103.566,0.8,1.0,0.54105,0.10868,1
1586899103.746,0.8,0.8,0.54297,0.54434,1
1586899103.929,1.0,0.8,0.10943,0.53627,1
1586899104.108,1.0,0.8,0.1089,0.55919,1
1586899104.281,1.0,1.0,0.10667,0.1028,1
1586899104.469,1.0,0.8,0.10195,0.55097,1
1586899104.642,1.0,1.0,0.09762,0.08746,1
1586899104.866,0.8,0.8,0.5591,0.56433,1
1586899105.042,0.8,0.6,0.57154,1.10139,1
1586899105.233,0.8,0.8,0.57113,0.56959,1
1586899105.414,1.0,1.0,0.08561,0.08658,1
1586899105.593,0.8,0.8,0.56947,0.56794,1
1586899105.782,1.0,1.0,0.08854,0.08735,1
1586899105.999,1.0,1.0,0.08893,0.08009,1
1586899106.185,1.0,1.0,0.07558,0.08282,1
1586899106.356,0.4,0.8,1.59483,0.55724,1
1586899106.537,0.8,0.8,0.55947,0.54705,1
1586899106.728,0.8,0.8,0.55431,0.53217,1
1586899106.906,1.0,0.6,0.11114,0.95622,1
1586899107.085,0.8,1.0,0.5299,0.12636,1
1586899107.27,1.0,1.0,0.12727,0.1349,1
1586899107.452,0.6,0.6,0.90966,0.8898,1
1586899107.674,0.8,1.0,0.51414,0.15793,1
1586899107.866,0.8,0.8,0.51322,0.50663,1
1586899108.047,0.8,1.0,0.50695,0.17984,1
1586899108.223,0.8,1.0,0.50462,0.19051,1
1586899108.403,1.0,0.6,0.18976,0.80453,1
1586899108.576,1.0,1.0,0.19774,0.19935,1
1586899108.785,0.8,1.0,0.50086,0.20461,1
1586899108.986,0.6,1.0,0.79766,0.21108,1
1586899109.158,0.8,0.8,0.50341,0.49771,1
1586899109.332,1.0,1.0,0.21468,0.21839,1
1586899109.512,0.8,0.8,0.50121,0.4977,1
1586899109.696,1.0,0.8,0.22146,0.50125,1
1586899109.881,1.0,0.6,0.22037,0.78467,1
1586899110.063,0.8,0.8,0.49546,0.49763,1
1586899110.243,0.6,0.8,0.7943,0.50063,1
1586899110.424,1.0,0.8,0.21162,0.49669,1
1586899110.607,1.0,1.0,0.20834,0.20249,1
1586899110.798,1.0,0.6,0.20442,0.81039,1
1586899111.001,1.0,0.6,0.19303,0.81868,1
1586899111.179,1.0,1.0,0.1855,0.17327,1
1586899111.356,1.0,0.8,0.17264,0.50867,1
1586899111.543,0.8,1.0,0.51109,0.14885,1
1586899111.726,0.8,1.0,0.51633,0.14137,1
1586899111.915,0.8,0.8,0.51478,0.51926,1
1586899112.09,0.8,0.8,0.52145,0.51933,1
1586899112.261,1.0,1.0,0.13392,0.12727,1
1586899112.433,0.8,0.8,0.52872,0.52966,1
1586899112.62,0.8,1.0,0.52704,0.12293,1
1586899112.808,0.8,1.0,0.52791,0.12312,1
1586899112.989,1.0,1.0,0.12255,0.1207,1
1586899113.171,1.0,0.8,0.11856,0.53781,1
1586899113.349,1.0,1.0,0.11369,0.11015,1
1586899113.553,1.0,1.0,0.11139,0.10476,1
1586899113.732,0.8,1.0,0.5411,0.09779,1
1586899113.909,1.0,1.0,0.10122,0.09317,1
1586899114.085,1.0,0.8,0.09573,0.56609,1
1586899114.27,0.8,0.8,0.56498,0.57397,1
1586899114.441,0.8,0.8,0.56878,0.56938,1
1586899114.616,0.8,0.8,0.57448,0.56641,1
1586899114.797,0.8,1.0,0.56472,0.09052,1
1586899114.971,0.8,0.8,0.55881,0.56024,1
1586899115.146,1.0,0.8,0.09458,0.5486,1
1586899115.317,0.8,1.0,0.55056,0.10163,1
1586899115.488,1.0,1.0,0.10245,0.10439,1
1586899115.664,1.0,1.0,0.10538,0.10684,1
1586899115.858,1.0,0.8,0.10568,0.54459,1
1586899116.038,1.0,1.0,0.10464,0.10136,1
1586899116.218,1.0,1.0,0.10183,0.09813,1
1586899116.391,0.8,1.0,0.55219,0.09652,1
1586899116.567,0.8,0.8,0.55861,0.5532,1
1586899116.743,1.0,0.6,0.0956,1.04384,1
1586899116.916,1.0,1.0,0.09212,0.08979,1
1586899117.094,0.8,1.0,0.55851,0.08928,1
1586899117.274,1.0,1.0,0.08905,0.08944,1
1586899117.45,0.6,0.8,1.03649,0.55733,1
1586899117.633,1.0,1.0,0.09308,0.09586,1
1586899117.821,0.8,1.0,0.55399,0.09651,1
1586899118.007,0.6,0.8,1.00904,0.54182,1
1586899118.19,1.0,0.8,0.10755,0.53389,1
1586899118.379,1.0,1.0,0.11309,0.11749,1
1586899118.559,0.8,1.0,0.53591,0.12343,1
1586899118.756,0.6,0.8,0.9334,0.51964,1
1586899118.946,0.8,0.8,0.52458,0.51591,1
1586899119.156,0.6,0.8,0.88782,0.51228,1
1586899119.356,1.0,1.0,0.15824,0.16892,1
1586899119.569,0.8,0.8,0.51459,0.50649,1
1586899119.775,0.8,0.8,0.50275,0.50122,1
1586899119.991,1.0,1.0,0.18858,0.195,1
1586899120.17,1.0,1.0,0.19716,0.19867,1
1586899120.362,1.0,1.0,0.20024,0.19932,1
1586899120.546,1.0,0.6,0.19892,0.80742,1
1586899120.744,1.0,1.0,0.19706,0.19156,1
1586899120.959,1.0,1.0,0.18853,0.18533,1
1586899121.15,0.4,1.0,1.17428,0.18706,1
1586899121.342,0.8,1.0,0.50402,0.18607,1
1586899121.531,1.0,1.0,0.18721,0.18407,1
1586899121.719,1.0,1.0,0.18708,0.18046,1
1586899121.913,1.0,0.8,0.17699,0.50421,1
1586899122.106,0.8,1.0,0.50373,0.17207,1
1586899122.297,1.0,1.0,0.17005,0.16439,1
1586899122.491,0.8,0.8,0.51011,0.50983,1
